WigleWifi-1.4,appRelease=2.25,model=GT-N7100,release=4.4.2,device=t03g,display=Android Revolution HD 31.0 by mike1986,board=smdk4x12,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:09:86:4c,Ariel_University,[ESS],2017-10-30 11:41:04,44,-77,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:09:89:ec,Ariel_University,[ESS],2017-10-30 11:41:04,36,-89,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:09:89:e8,Ariel_University,[ESS],2017-10-30 11:41:04,1,-84,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-10-30 11:41:04,11,-62,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],2017-10-30 11:41:04,6,-75,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-10-30 11:41:04,48,-81,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:09:8e:d8,Ariel_University,[ESS],2017-10-30 11:41:04,1,-81,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
f4:09:d8:6f:cd:a7,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80],2017-10-30 11:41:04,6,-58,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:88:7a:17,,[WPA2-PSK-CCMP][ESS],2017-10-30 11:41:04,48,-75,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],2017-10-30 11:41:04,1,-76,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:d7:6c,Ariel_University,[ESS],2017-10-30 11:41:04,40,-89,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:77:4c,Ariel_University,[ESS],2017-10-30 11:41:04,58,-90,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:ab:d8,Ariel_University,[ESS],2017-10-30 11:41:04,1,-88,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:09:f2:b8,Ariel_University,[ESS],2017-10-30 11:41:04,11,-80,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
1c:b9:c4:16:28:8c,Ariel_University,[ESS],2017-10-30 11:41:04,48,-85,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:09:f2:bc,Ariel_University,[ESS],2017-10-30 11:41:04,40,-85,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:a3:b8,Ariel_University,[ESS],2017-10-30 11:41:04,1,-82,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:ab:dc,Ariel_University,[ESS],2017-10-30 11:41:04,36,-89,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
1c:b9:c4:15:36:7c,Ariel_University,[ESS],2017-10-30 11:41:04,52,-91,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:09:8c:a8,Ariel_University,[ESS],2017-10-30 11:41:04,11,-91,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:99:68,Ariel_University,[ESS],2017-10-30 11:41:04,6,-83,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
ec:8c:a2:08:99:6c,Ariel_University,[ESS],2017-10-30 11:41:04,52,-90,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
1c:b9:c4:16:28:88,Ariel_University,[ESS],2017-10-30 11:41:04,11,-87,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
1c:b9:c4:15:36:78,Ariel_University,[ESS],2017-10-30 11:41:04,11,-87,32.1034155368708,35.2073955548378,668.33511443269,64,WIFI
42502_22811_5329535,GOLAN T,HSDPA;il,2017-10-30 11:41:04,0,-97,32.1034155368708,35.2073955548378,668.33511443269,64,GSM
ec:8c:a2:26:ae:28,Ariel_University,[ESS],2017-10-30 11:41:06,6,-62,32.1036148248146,35.2072806967394,711.723355375018,64,WIFI
f4:09:d8:6f:cd:a7,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80],2017-10-30 11:41:06,6,-49,32.1036148248146,35.2072806967394,711.723355375018,64,WIFI
a0:8c:fd:0a:14:5b,DIRECT-F1-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-10-30 11:41:06,6,-84,32.1036148248146,35.2072806967394,711.723355375018,64,WIFI
ec:8c:a2:09:86:48,Ariel_University,[ESS],2017-10-30 11:41:08,6,-87,32.1034824071859,35.2070984720756,701.710575911913,32,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-10-30 11:41:10,11,-57,32.1034847513875,35.2070865643947,692.273698006302,16,WIFI
